seed,theta10_0_1,theta10_0_2,theta10_0_3,theta10_0_4,theta10_0_5,theta1_0_1,theta1_0_2,theta1_0_3,theta1_0_4,theta1_0_5,theta2_0_1,theta2_0_2,theta2_0_3,theta2_0_4,theta2_0_5,theta2_1_1,theta2_1_2,theta2_1_3,theta2_1_4,theta2_1_5,theta3_0_1,theta3_0_2,theta3_0_3,theta3_0_4,theta3_0_5
337,0.1,0.7590224159467862,0.9079280950587162,0.9622877879561688,0.9859090173516001,0.8724800035149513,0.9526929993217371,0.9775299099466821,0.9891870747663182,0.9934829688418023,0.983578469403317,1.028930391298472,1.0432197999528883,1.0342938488291988,1.0281685074544336,0.7672503005041678,0.9568518074167278,1.0108932490902376,1.0241179910446994,1.0268931649742772,1.0250284602200477,1.016450475499178,1.0211675282102173,1.0197432759031646,1.019394319272434
338,1.2734145833398278,1.194239623092009,1.0980551017406626,1.0597236341018357,1.044666434744327,1.0987163040298125,1.0413591870394425,1.0229251610484182,1.0155635993892285,1.0117433182042184,1.0117616520215715,1.0842711024280525,1.1024822506440293,1.096632905268389,1.0918467215541403,0.7035502008233745,0.8904972325629705,0.943112660269772,0.958068855631899,0.9619562611646745,0.9919450891723315,0.9928309699776379,0.9969113748869078,0.995420822800067,0.9951618951173158
339,2.0,1.7117910718010272,1.423335291927823,1.2626692637984431,1.185270055804337,1.4015100768601705,1.2109036169450949,1.1280520728546088,1.0868881520794127,1.064880230856515,1.1525769801007624,1.2374725780483404,1.2760872005416655,1.267197755644346,1.2578063727585385,1.0497719475308263,1.3475817788987028,1.4527255304875757,1.4870193863525933,1.4986081526706887,1.0192817979591082,1.013788262478043,1.0238640777665247,1.0210127709006396,1.0202125126198238
340,0.1,0.7169066606939336,0.871972372890996,0.9594726405564058,1.004056779110664,0.8008369664855262,0.883353113841319,0.9304958535540799,0.9549081951925384,0.9678405242174517,1.2794902081189352,1.476327410956624,1.5473690114975052,1.5674451505533478,1.5747205769531978,0.8058473745906534,1.0623215307569271,1.150400925819755,1.193213530930541,1.2134910415095943,1.060235893821478,1.0683038429132845,1.070701216954049,1.0671788204442354,1.066556904130143
341,0.1,0.7891166116533678,0.9498957852956282,1.0067597391249392,1.0321687353845934,0.8834727460768497,0.9689728004758758,0.994518898963148,1.0073070473068462,1.0119844846009955,1.0118950708605643,1.0398081734375326,1.0508320480395543,1.0370047932079542,1.0280787226857584,0.9100674951067496,1.1390374096252758,1.207288182446703,1.222483073909578,1.2249209627854767,1.0036000214972125,0.9931499663782068,0.9994131328070803,0.9978015587593005,0.9973134509676018
342,0.1,0.8014942021419501,0.947155295060901,0.9953073139986942,1.0137846737406058,0.8948948105852745,0.9691114247080177,0.9914336584608426,1.0006856822883878,1.003735136176114,0.8724163243730466,0.9006822978132083,0.9074578324585449,0.9000926941507055,0.8959453616323438,0.6426768730628661,0.7805950676861132,0.8153170145819382,0.8221928767198128,0.8230945431666263,1.0075927726222802,1.0046857161416556,1.0086843798085194,1.007786109324957,1.0076039305767623
343,0.1,0.7619858165828697,0.8950399849294067,0.9317044620867517,0.9442733366048951,0.8567036335701776,0.9275240156361586,0.9427999821935574,0.9487622743947915,0.9505440813458025,0.8143054432388989,0.7921069915561066,0.7862436458977901,0.7740032844806636,0.7685352293664107,0.7661326994955349,0.9213602196588677,0.9584785304918926,0.9618471589471143,0.9606757496380812,0.9927134840651866,0.981449861307885,0.9856046804472847,0.9850008276219231,0.9847887026456194
344,2.0,1.5969552946230288,1.293191263872536,1.1210221884642255,1.0415597618091024,1.3614619936219043,1.1794900183704042,1.0966261534891588,1.0592675820969695,1.0420693982937244,1.002640264015789,1.0361272172425429,1.0424040185906813,1.0218414498273873,1.0086486683427345,0.9568042099783577,1.2617041242839822,1.3568834189046706,1.3776456874796585,1.3800672397090947,0.9896697937318537,0.9742780650608077,0.9800386849224111,0.9781495532570068,0.9774843322301964
345,0.8457003516765966,0.9955420238737464,1.0200721906360721,1.0415939641097334,1.0529102587616395,1.0269078774523241,1.0288905985326946,1.0401077239262986,1.0459471098328168,1.0482236879059559,1.038024781372499,1.1504319225357296,1.1854354768827375,1.189599341882783,1.1893406576573893,0.6736148112705512,0.8383637993234236,0.8872111281269545,0.9049982369457261,0.9113620489998954,0.9729994701514839,0.9821692855452885,0.9860360750236741,0.9850030700157727,0.9849675176145329
346,2.0,1.523443734315675,1.234755483334191,1.0853160276106946,1.0247501793804652,1.3317535036960775,1.160225123007036,1.0889421733512563,1.0618934653509726,1.0511986134974134,0.8595094727717992,0.8476580726826165,0.8583870590592055,0.8489420335528344,0.8430401026086238,0.9832608161895477,1.155735887907099,1.2088548901503717,1.2175095700469472,1.218133328678792,0.9868938617470414,0.9716989139299357,0.9778833229672286,0.977315924148319,0.976969651497334
347,1.7888798446703797,1.4001262377494466,1.1308588006898201,1.00599744063326,0.9533219226926873,1.2546196145339479,1.10415773860896,1.0446418298588875,1.0207253229654174,1.010632462973549,0.9065733658036754,0.9607258749646134,0.967664265359099,0.9582452084959544,0.9525696534884212,0.604045874437328,0.7819321457029139,0.8284077767211423,0.8389164561635207,0.8405828947275877,1.008856230470259,1.00649158542131,1.0097931208192927,1.008646402167938,1.008397506842564
348,0.1,0.7914559351385924,0.9542291309044916,1.0292859015875773,1.064434560920238,0.8843056454671985,0.9633453073179727,1.0017014172365688,1.0201816639259327,1.0283166197199878,1.1002557145246525,1.2255471956539565,1.2637902247768928,1.267607443901849,1.2667267652948078,0.7191697840008463,0.9190594260308446,0.980286827257847,1.0033556115567799,1.011864032522665,0.9851516380930102,0.9936244035861499,0.9974955978697092,0.9959425501135402,0.9957925703346494
