seed,theta10_0_1,theta10_0_2,theta10_0_3,theta1_0_1,theta1_0_2,theta1_0_3,theta2_0_1,theta2_0_2,theta2_0_3,theta2_1_1,theta2_1_2,theta2_1_3,theta3_0_1,theta3_0_2,theta3_0_3,theta3_1_1,theta3_1_2,theta3_1_3
34,0.32197934829629904,0.29466420103154123,0.2944487525098945,0.3421555220007627,0.2974315781788217,0.29934583225491906,1.5541404848360576,1.5965797334959997,1.6066809909908153,0.8567616274018904,0.8860315305855682,0.893104368440989,0.10252771437538603,0.1006906662304472,0.09979555589275217,0.0008558543347930638,0.00035860220698552005,0.00036371627586241704
35,0.3382326500091691,0.3011323498816277,0.3002724850140786,0.3689631296339558,0.3026545929297811,0.306773060369187,1.411913107645077,1.442927578174807,1.4508924913088734,0.7334082479723479,0.7516917716993874,0.7568938743772651,0.10376453717615378,0.10165286651400385,0.10038658347055356,0.0004028551791256292,-2.3895218428238788e-05,-1.7881644738313343e-05
36,0.3427995625427165,0.3032177564700894,0.3024455399523015,0.37922070093763427,0.30669003038516235,0.30967969507324933,1.4699100119267041,1.4989556453000394,1.5073845828913934,0.779300170636151,0.7959352093991122,0.8014130125923739,0.10353431273536222,0.10114331695470453,0.09983549743684272,0.00045695005057379734,-0.00022908404106072977,-0.00024091911393819216
37,0.3416517826274879,0.3080083761599966,0.30720561757879605,0.380297669364035,0.3042983719441884,0.3142110722414285,1.4008457464456765,1.437972508689401,1.4460979930589484,0.8037086865724432,0.8287902018053777,0.8344263115941072,0.10387470949550118,0.1014297226996652,0.1002357863607037,0.0007139896345529563,0.00015850835845483514,9.80397381245846e-05
38,0.3397977865237537,0.30360013609460235,0.302308507869464,0.37987087965945504,0.30283142681825087,0.30941310384406073,1.3312676523787477,1.3591100023044753,1.366026340335155,0.6463977747674383,0.6654995919929066,0.6698957261518911,0.10375528641000235,0.10133666863590966,0.10003339969060225,0.0010813291339650324,0.0005448481796879978,0.000491811065170454
39,0.3311985594179848,0.29946450130409763,0.29882944943835393,0.36316996479133423,0.3028836346295424,0.30759850460074095,1.402180972343401,1.437510384597278,1.4455848421036812,0.7761037403580647,0.7994170579538883,0.8050588560016753,0.1036281254792797,0.10126656533104277,0.09990404483153244,0.0012981466325843163,0.000629939056522749,0.000601996082793159
40,0.34287614861595167,0.3008538303740088,0.2999409007677123,0.38496591498896976,0.3116772089113116,0.3132759540656452,1.498026731314565,1.538743370168213,1.548074534789824,0.7565553697053292,0.7826379123840237,0.7885341960238308,0.10376632702813618,0.10123383478207393,0.09987450351001505,0.0005709099174576258,5.6808364370001e-05,-7.872942945763201e-06
41,0.33210136144161984,0.30000306113115816,0.29966148151223243,0.3667779951497309,0.3008399967576673,0.3065845483880094,1.4841401812295714,1.5220500437272706,1.5309394019875113,0.84901913432801,0.8759730737108811,0.8823278843484916,0.10350591131737372,0.10119562567188538,0.09959351408564668,0.00044476932725774296,-0.00021368407455911486,-0.00023257166183067516
42,0.3470421984138291,0.29999143764837694,0.29867116651743175,0.3923942168788095,0.3062767127462347,0.3071172906515202,1.470358580300156,1.5084407144598906,1.517369697138164,0.756174974790187,0.7796153968178146,0.7851633342974286,0.10393865852443938,0.10123719841673706,0.09969149883837797,0.0009135214995380837,0.00028088775121922117,0.00013671572837180307
43,0.32411409256438756,0.29180492470809305,0.291405777311073,0.36332227857133814,0.2976850402322646,0.3045039999115941,1.4220980080040695,1.454696419999388,1.4629141575300122,0.7757027578316833,0.796759978093031,0.802278343921685,0.10376299486778978,0.10138162916586081,0.10020146595277053,0.0001444743343680963,-0.00019726212516266397,-0.0003022381599216915
